5.3603	0.0000
5.2719	0.0333
5.0120	0.1092
3.7913	0.6545
5.2103	0.0558
1.9088	0.6735
1.8705	0.6886
1.1186	1.0079
3.7492	0.6572
1.4942	0.7788
4.3855	0.3313
1.0809	1.0386
4.7110	0.2133
5.1767	0.0639
3.8864	0.5941
4.7278	0.2002
1.7882	0.6989
3.8454	0.6099
4.9838	0.1206
4.4651	0.2974
5.0477	0.1044
0.8546	1.2425
3.9198	0.5696
1.6093	0.7335
1.2117	0.9384
0.5686	1.6046
5.3603	0.0000
1.0101	1.1007
0.4603	1.8907
1.2913	0.8962
4.0935	0.4698
4.0091	0.5239
0.3388	2.2867
0.4827	1.8242
0.7082	1.3676
4.8878	0.1472
4.4136	0.3229
0.5986	1.5548
0.3642	2.1862
4.9217	0.1392
4.3479	0.3563
0.6797	1.4382
0.9269	1.1908
1.0413	1.0764
1.2482	0.9153
0.5294	1.7117
0.3114	2.3744
0.2547	2.8107
4.5688	0.2652
5.0967	0.0917
1.6821	0.7008
0.2658	2.7005
0.6447	1.4837
4.2101	0.4117
0.3468	2.2145
3.9681	0.5509
1.5293	0.7593
0.3979	2.0650
4.7986	0.1754
3.7963	0.6250
4.4921	0.2855
1.7882	0.6989
4.8300	0.1648
3.9759	0.5389
5.2410	0.0388
0.8160	1.2585
0.4422	1.8988
1.0347	1.0901
0.9452	1.1354
0.2777	2.6565
0.2626	2.7222
0.6120	1.5265
0.8013	1.2738
0.8726	1.2118
4.2306	0.4006
1.1651	0.9588
5.2938	0.0215
0.4913	1.7778
0.7792	1.2905
5.1378	0.0751
4.4331	0.3097
4.5831	0.2497
4.2950	0.3696
0.6552	1.4555
3.9198	0.5696
4.6408	0.2302
4.5229	0.2741
4.0646	0.4932
0.2564	2.7793
4.7923	0.1903
4.1823	0.4308
4.6614	0.2261
1.4270	0.8048
0.4922	1.7757
0.3393	2.2564
0.2259	3.2167
1.9187	0.6628
1.3895	0.8133
0.7517	1.3256
0.3997	2.0338
0.5540	1.6271
1.3050	0.8924
1.5526	0.7453
0.2239	3.4588
5.1164	0.0877
4.9524	0.1291
0.9757	1.1035
3.7952	0.6524
0.2377	2.9632
0.3673	2.1684
0.2211	3.8009
0.2596	2.7458
0.2938	2.4667
1.8705	0.6886
0.3273	2.3340
0.6024	1.5429
5.1637	0.0703
0.2932	2.4890
0.2287	3.0716
4.8541	0.1583
0.5422	1.6573
0.2790	2.6077
1.5293	0.7593
1.1822	0.9410
1.3114	0.8656
0.3881	2.0832
0.2828	2.5784
1.3556	0.8374
4.2805	0.3800
4.1560	0.4370
4.3234	0.3578
4.6729	0.2180
4.0221	0.5047
0.6327	1.5056
1.6648	0.7077
0.2403	2.8306
0.9417	1.1573
4.6135	0.2395
0.3570	2.2090
0.3774	2.0926
4.2475	0.3961
0.2846	2.5420
0.3028	2.4391
0.7610	1.3033
0.6834	1.4130
0.2239	3.4588
4.1183	0.4651
0.2929	2.5207
0.3701	2.1264
0.5221	1.7243
5.3238	0.0153
0.2664	2.6754
0.4037	2.0089
0.5157	1.7501
0.4310	1.9428
4.9138	0.1417
0.6964	1.3792
3.9965	0.5319
4.1291	0.4505
0.5811	1.5732
1.4330	0.7861
0.3042	2.4050
0.3171	2.3473
0.2287	3.0716
0.7517	1.3256
1.6369	0.7129
0.4726	1.8530
1.2482	0.9153
1.2227	0.9234
1.5666	0.7365
1.3556	0.8374
0.2377	2.9632
1.0505	1.0481
1.1295	0.9786
0.4108	1.9797
